Country,Happiness Rank 2015,Happiness Score 2015,Happiness.Rank 2017,Happiness.Score 2017,delta.rank,delta.score
South Africa,113,4.642,101,4.828999996,12,-0.186999996
Ghana,114,4.633,131,4.119999886,-17,0.513000114
Zimbabwe,115,4.61,138,3.875,-23,0.735
Liberia,116,4.571,148,3.532999992,-32,1.038000008
India,117,4.565,122,4.315000057,-5,0.249999943
Sudan,118,4.55,130,4.138999939,-12,0.411000061
Haiti,119,4.518,145,3.602999926,-26,0.915000074
Congo (Kinshasa),120,4.517,126,4.28000021,-6,0.23699979
Nepal,121,4.514,99,4.961999893,22,-0.447999893
Ethiopia,122,4.512,119,4.460000038,3,0.051999962
Sierra Leone,123,4.507,106,4.709000111,17,-0.202000111
Mauritania,124,4.436,123,4.291999817,1,0.144000183
Kenya,125,4.419,112,4.552999973,13,-0.133999973
Armenia,127,4.35,121,4.375999928,6,-0.025999928
Botswana,128,4.332,142,3.766000032,-14,0.565999968
Myanmar,129,4.307,114,4.545000076,15,-0.238000076
Georgia,130,4.297,125,4.285999775,5,0.011000225
Malawi,131,4.292,136,3.970000029,-5,0.321999971
Sri Lanka,132,4.271,120,4.440000057,12,-0.169000057
Cameroon,133,4.252,107,4.695000172,26,-0.443000172
Bulgaria,134,4.218,105,4.714000225,29,-0.496000225
Egypt,135,4.194,104,4.735000134,31,-0.541000134
Yemen,136,4.077,146,3.592999935,-10,0.484000065
Angola,137,4.033,140,3.795000076,-3,0.237999924
Mali,138,3.995,127,4.190000057,11,-0.195000057
Congo (Brazzaville),139,3.989,124,4.290999889,15,-0.301999889
Uganda,141,3.931,133,4.080999851,8,-0.149999851
Senegal,142,3.904,115,4.534999847,27,-0.630999847
Gabon,143,3.896,118,4.465000153,25,-0.569000153
Niger,144,3.845,135,4.027999878,9,-0.182999878
Cambodia,145,3.819,129,4.168000221,16,-0.349000221
Tanzania,146,3.781,153,3.348999977,-7,0.432000023
Madagascar,147,3.681,144,3.644000053,3,0.036999947
Central African Republic,148,3.678,155,2.693000078,-7,0.984999922
Chad,149,3.667,137,3.936000109,12,-0.269000109
Guinea,150,3.656,149,3.506999969,1,0.149000031
Ivory Coast,151,3.655,128,4.179999828,23,-0.524999828
Burkina Faso,152,3.587,134,4.032000065,18,-0.445000065
Afghanistan,153,3.575,141,3.79399991,12,-0.21899991
Rwanda,154,3.465,151,3.470999956,3,-0.005999956
Benin,155,3.34,143,3.657000065,12,-0.317000065
Syria,156,3.006,152,3.461999893,4,-0.455999893
Burundi,157,2.905,154,2.904999971,3,2.86102E-08
Togo,158,2.839,150,3.494999886,8,-0.655999886
